loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_comment
3004,9214713,K00422.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,809.0141881,250.634242,0.717,8.3017,1.63E+04,14.38,1.6988,216,0.51,212.9,1,q1_q17_dr25_tce,6230,4.397,-0.3,1.047,0.993,290.38983,45.665329,14.74,MOD_SEC_DV
3005,9478990,K00423.01,Kepler-39 b,CONFIRMED,CANDIDATE,1,0,0,0,0,21.0871953,202.858405,0.065,5.92691,8.89E+03,14.43,0.1527,873,137.06,556.2,1,q1_q17_dr25_tce,6266,4.101,-0.28,1.522,1.066,296.96027,46.034302,14.327,NO_COMMENT
3006,9597411,K00424.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.575631524,170.393276,1.065,2.59202,2.56E+04,28.66,0.0258,1577,1464.43,465.4,1,q1_q17_dr25_tce,6202,4.537,-0.62,0.858,0.923,295.43478,46.203129,14.731,MOD_SEC_DV
3007,6850504,K00070.04,Kepler-20 e,CONFIRMED,CANDIDATE,0.999,0,0,0,0,6.09855603,135.92906,0.21,2.9815,8.44E+01,0.84,0.0626,927,174.3,24.8,4,q1_q17_dr25_tce,5465,4.449,0.02,0.925,0.876,287.698,42.338718,12.498,NO_COMMENT
3008,8609450,K01278.05,,FALSE POSITIVE,FALSE POSITIVE,0.174,1,0,0,0,203.250506,208.4914,0.336,9.81,2.39E+02,1.35,0.626,292,1.71,7,5,q1_q17_dr25_tce,5600,4.455,-0.36,0.872,0.793,284.67728,44.79768,15.204,NO_COMMENT
3009,10934674,K00477.01,Kepler-567 b,CONFIRMED,CANDIDATE,1,465,0,0,0,16.54295261,169.65031,0.329,3.8516,7.26E+02,2.31,0.1229,611,32.94,36.1,1,q1_q17_dr25_tce,5215,4.518,0.28,0.867,0.904,297.67261,48.302311,14.687,CENT_SATURATED
3010,10990886,K00478.01,Kepler-568 b,CONFIRMED,CANDIDATE,1,0,0,0,0,11.0234748,171.114662,0.724,1.4814,1.80E+03,2.46,0.0794,429,8.04,77.2,1,q1_q17_dr25_tce,3744,4.718,0.2,0.537,0.551,298.10571,48.40115,14.273,NO_COMMENT
3011,11015323,K00479.01,Kepler-569 b,CONFIRMED,CANDIDATE,1,0,0,0,0,34.18884323,193.38946,0.065,5.3278,1.06E+03,2.97,0.1981,526,18.05,83.9,1,q1_q17_dr25_tce,5515,4.453,0,0.925,0.888,283.50726,48.552601,14.106,NO_COMMENT
3012,11134879,K00480.01,Kepler-570 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.30165843,172.311001,0.547,2.1055,7.39E+02,2.42,0.0497,1009,244.48,88.3,1,q1_q17_dr25_tce,5480,4.509,-0.04,0.865,0.881,290.43759,48.791882,14.332,CENT_KIC_POS
3013,11192998,K00481.01,Kepler-166 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.650243513,171.972352,0.014,2.752,9.81E+02,2.3,0.0713,772,83.86,98.8,1,q1_q17_dr25_tce,5409,4.609,-0.3,0.746,0.835,293.16016,48.881191,14.701,CENT_KIC_POS
3014,9334893,K02298.03,,CANDIDATE,CANDIDATE,0.425,0,0,0,0,2.47240869,132.44084,0.319,1.87,4.75E+01,0.36,0.0291,887,145.69,9,4,q1_q17_dr25_tce,4729,4.726,-1.42,0.525,0.534,288.45605,45.80212,13.831,CENT_KIC_POS
3015,8934495,K00524.01,Kepler-1721 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.592393816,172.004723,0.02,2.2748,1.03E+03,2.51,0.0519,924,172.6,105.9,1,q1_q17_dr25_tce,5351,4.582,-0.04,0.796,0.89,283.54416,45.225552,14.868,NO_COMMENT
3016,9119458,K00525.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,11.53029332,173.726435,0.027,1.8385,1.21E+03,3.98,0.098,873,137.08,57.6,1,q1_q17_dr25_tce,5770,4.289,-0.06,1.152,0.942,300.90778,45.45787,14.539,NO_COMMENT
3017,5866724,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE,1,0,0,0,0,5.859935955,132.040528,0.049,4.0185,3.23E+02,2.56,0.0682,1246,569.5,186.7,1,q1_q17_dr25_tce,6181,4.22,0.14,1.424,1.231,288.68869,41.15118,11.018,NO_COMMENT
3018,9157634,K00526.01,Kepler-586 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.104721971,171.044219,0.001,1.7547,9.06E+02,2.89,0.0331,1365,821.44,153.3,1,q1_q17_dr25_tce,5703,4.498,0.36,0.975,1.091,293.05722,45.551189,14.427,NO_COMMENT
3019,9636569,K00527.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,10.63624422,171.69616,0.978,5.055,2.32E+02,1.58,0.0898,756,77.02,24.7,1,q1_q17_dr25_tce,5834,4.591,-0.54,0.774,0.862,285.3385,46.309872,14.433,CENT_SATURATED
3020,12406807,K03091.02,,CANDIDATE,CANDIDATE,0.879,0,0,0,0,7.9069765,138.427,0.038,4.634,1.26E+02,1.13,0.0791,994,230.28,8.3,2,q1_q17_dr25_tce,6347,4.464,-0.34,0.996,1.053,290.88831,51.248169,15.372,NO_COMMENT
