loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_comment
5387,6200709,K03694.01,,FALSE POSITIVE,FALSE POSITIVE,0.024,0,1,0,0,3.723552982,134.94613,0.629,3.5632,4.01E+04,18.83,0.046,1176,452.71,145.7,1,q1_q17_dr25_tce,6063,4.51,-0.42,0.89,0.934,290.41669,41.52578,16.72,CENT_RESOLVED_OFFSET
5388,8323764,K03767.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,6.714247798,134.31703,0.557,3.3304,3.22E+04,14.78,0.0634,809,100.94,145.9,1,q1_q17_dr25_tce,5159,4.508,-0.16,0.8,0.752,299.08057,44.29501,17.376,DEEP_V_SHAPED
5389,7013923,K07801.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,2.21396079,132.5689,0.143,3.452,1.19E+02,0.87,0.0308,1123,375.04,9.6,1,q1_q17_dr25_tce,4922,4.505,0.2,0.823,0.79,284.31454,42.589321,15.844,NO_COMMENT
5390,5360082,K03768.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,11.35501209,133.20478,0.473,14.557,1.97E+04,8,0.0815,534,19.29,221.4,1,q1_q17_dr25_tce,4594,4.679,-0.84,0.567,0.56,291.08334,40.566639,14.772,CENT_KIC_POS
5391,6543683,K03769.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,1.195515251,132.303851,1.281,5.0834,8.05E+03,49.33,0.0214,1959,3469.7,309.1,1,q1_q17_dr25_tce,6040,4.271,-0.4,1.155,0.909,297.54337,41.947979,13.998,MOD_SEC_DV
5392,5008245,K03770.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,2.60720833,131.84844,0.644,2.6452,3.15E+03,7.31,0.04,1561,1403.43,185.3,1,q1_q17_dr25_tce,6366,4.352,0.16,1.236,1.257,290.93671,40.12492,14.103,NO_COMMENT
5393,10555365,K03771.01,,FALSE POSITIVE,FALSE POSITIVE,1,0,1,0,0,5.80184753,131.77347,0.478,3.9551,2.21E+04,14,0.0593,989,225.81,118.1,1,q1_q17_dr25_tce,5687,4.426,-0.32,0.921,0.826,298.77109,47.785412,16.605,MOD_SEC_DV
5394,5481426,K03772.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,2.38404983,133.43927,0.611,3.2849,3.13E+05,66.14,0.035,1363,815.42,195.3,1,q1_q17_dr25_tce,5780,4.438,0,1,1,299.64487,40.690601,19.319,MOD_ODDEVEN_DV
5395,7983756,K03846.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,5.24078259,136.54913,1.223,5.238,5.93E+02,24.73,0.0586,1080,322.16,58.1,1,q1_q17_dr25_tce,6192,4.503,-0.42,0.917,0.976,298.84415,43.725361,14.483,LPP_DV
5396,7289165,K03847.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,5.26641416,131.69998,0.774,2.4404,2.24E+02,2.62,0.062,1421,964.18,37.8,1,q1_q17_dr25_tce,6338,4.087,-0.18,1.602,1.142,293.96725,42.833279,12.859,NO_COMMENT
5397,12784167,K03848.01,Kepler-1522 b,CONFIRMED,CANDIDATE,1,0,0,0,0,1.847892736,132.19915,0.036,1.8904,3.23E+02,1.51,0.0288,1374,843.8,53.3,1,q1_q17_dr25_tce,5763,4.557,-0.2,0.842,0.937,289.84323,52.07016,14.216,CENT_RESOLVED_OFFSET
5398,8949316,K03849.01,,FALSE POSITIVE,FALSE POSITIVE,0.955,0,1,0,0,0.604358764,131.68577,1.197,1.0423,3.87E+04,23.28,0.0106,997,235.63,236.8,1,q1_q17_dr25_tce,3569,4.82,0,0.427,0.439,290.51895,45.235371,16.182,CENT_RESOLVED_OFFSET
5399,8912730,K03850.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,11.3775281,132.5848,1.415,12.918,1.65E+03,82.26,0.1124,1177,453.61,38.2,1,q1_q17_dr25_tce,6943,4.162,0.04,1.66,1.459,300.19409,45.145741,13.93,NO_COMMENT
5400,9784230,K03851.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,0.7981968,131.570334,0.67,2.22035,2.58E+05,62.38,0.0169,1963,3497.4,453.9,2,q1_q17_dr25_tce,5780,4.438,0,1,1,296.99054,46.598999,17.579,INDIV_TRANS_MARSHALL_SKYE
5401,11466960,K03917.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,0.695954898,131.89905,0.103,1.469,3.18E+02,2.58,0.0168,2740,13264.33,8.5,1,q1_q17_dr25_tce,6737,4.243,-0.1,1.425,1.303,297.13989,49.381618,13.496,DEPTH_ODDEVEN_DV
5402,3124420,K03918.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,0.948951607,132.468516,0.959,4.3809,4.58E+05,115.31,0.0189,1853,2796.38,437.1,1,q1_q17_dr25_tce,5780,4.438,0,1,1,293.24536,38.272182,18.241,MOD_SEC_ALT
5403,4649440,K03919.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.37070781,147.66803,1.2,2.2466,6.53E+02,108.54,0.1714,1180,458.92,38.4,1,q1_q17_dr25_tce,5321,3.416,-0.1,4.335,1.783,290.1377,39.765202,12.956,CENT_RESOLVED_OFFSET
5404,2437488,K03920.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,14.46993942,141.81105,1.027,7.455,1.24E+03,85.84,0.1345,1713,2033.61,41.9,1,q1_q17_dr25_tce,4735,2.715,0,9.043,1.549,290.22916,37.76141,14.962,MOD_SEC_DV
5405,10083623,K03921.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.278555003,131.529071,0.979,1.4247,1.48E+03,5.19,0.0223,1515,1241.92,93.8,1,q1_q17_dr25_tce,5636,4.557,-0.18,0.827,0.899,295.08237,47.08625,15.643,CENT_KIC_POS
5406,11253711,K01972.02,Kepler-1031 b,CONFIRMED,CANDIDATE,1,0,0,0,0,1.226223959,132.6827,0.005,2.1689,5.61E+01,1,0.0218,2024,3973.86,18.9,2,q1_q17_dr25_tce,5855,4.148,-0.26,1.34,0.92,296.08975,48.955372,13.8,CENT_RESOLVED_OFFSET
5407,8043052,K03695.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,2.244600029,133.46529,1.185,1.9204,8.61E+03,27.47,0.0304,1190,475.37,42.6,1,q1_q17_dr25_tce,5256,4.502,-0.26,0.802,0.745,296.4682,43.80146,14.731,CENT_RESOLVED_OFFSET
5408,5435816,K03696.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,181.8521773,251.877795,1.189,5.7725,2.76E+04,46.38,0.6523,333,2.91,293.8,1,q1_q17_dr25_tce,6063,4.476,0.07,1.012,1.117,287.62381,40.605469,15.684,CENT_RESOLVED_OFFSET
5409,8559589,K03697.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,223.1127475,140.947135,1.266,8.9683,1.15E+04,46.33,0.7194,332,2.87,224.5,1,q1_q17_dr25_tce,6211,4.389,-0.28,1.056,0.993,291.63467,44.647598,14.38,CENT_UNRESOLVED_OFFSET
5410,4372765,K03698.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,15.64064161,140.08502,0.522,6.4524,2.73E+05,77.18,0.134,921,169.73,206.3,1,q1_q17_dr25_tce,6517,4.279,0.14,1.374,1.313,293.61035,39.415089,18.231,MOD_NONUNIQ_ALT
5411,9489524,K02029.03,Kepler-352 d,CONFIRMED,CANDIDATE,0.999,0,0,0,0,6.8873113,132.0711,0.489,2.214,8.53E+01,0.72,0.0657,788,90.91,8.1,3,q1_q17_dr25_tce,5208,4.563,-0.14,0.772,0.796,299.89651,46.051971,12.957,MOD_SEC_DV
5412,10268903,K03773.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,1.103978,131.573418,,0.74,,,,,105.8,,1,q1_q17_dr25_tce,,,,,,289.71304,47.343498,17.362,LPP_DV
5413,7017437,K07802.01,,FALSE POSITIVE,FALSE POSITIVE,0.113,1,0,0,0,43.8496474,157.7544,0.02,2.217,4.52E+02,21.42,0.2921,1286,645.68,8.3,1,q1_q17_dr25_tce,4893,2.644,-0.3,10.363,1.725,285.99533,42.534199,13.457,NO_COMMENT
5414,7220320,K03775.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,0.752158047,131.793035,1.157,2.42733,3.79E+04,106.66,0.0175,2869,15978.36,510,1,q1_q17_dr25_tce,5770,3.844,0.04,2.221,1.255,297.10815,42.752918,14.082,NO_COMMENT
5415,9291378,K03776.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,3.796488133,135.15079,1.306,11.0659,3.01E+03,40.83,0.049,1233,547.94,193.4,1,q1_q17_dr25_tce,6137,4.46,-0.06,1.018,1.086,295.83008,45.789822,15.534,MOD_NONUNIQ_ALT
5416,4075067,K03777.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,17.7476059,139.3464,1.25,5.066,8.77E+02,146.63,0.1904,1998,3768.37,7.6,1,q1_q17_dr25_tce,8992,3.535,0.07,4.832,2.922,295.86945,39.15881,11.5,MOD_SEC_ALT
5417,4949524,K03852.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,1.233076007,132.49795,1.312,12.506,1.39E+03,31.39,0.0218,1513,1237.97,129.3,1,q1_q17_dr25_tce,5602,4.571,-0.16,0.817,0.913,298.00113,40.047878,15.402,MOD_SEC_ALT
5418,2697935,K03853.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,21.5135234,132.3356,2.441,77.983,1.58E+03,534.47,0.165,1006,242.54,171.5,1,q1_q17_dr25_tce,5088,3.508,-0.14,3.318,1.294,287.46786,37.96664,10.63,CENT_RESOLVED_OFFSET
5419,6531143,K07784.01,,FALSE POSITIVE,FALSE POSITIVE,0.002,1,0,0,0,19.4444573,147.9093,0.634,5.509,1.82E+02,1.53,0.1477,749,74.47,7.1,1,q1_q17_dr25_tce,6278,4.425,-0.06,1.081,1.132,294.504,41.968159,15.835,MOD_SEC_ALT
5420,3550434,K03854.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.1910489,132.076408,1.257,1.3738,1.39E+03,22.76,0.0192,1348,781.99,46.1,1,q1_q17_dr25_tce,5089,4.58,-0.52,0.693,0.666,292.922,38.670292,15.637,MOD_SEC_ALT
5421,2558370,K03855.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,0.546248198,131.585311,0.946,2.1081,1.15E+05,54.23,0.0131,2227,5820.72,263.1,1,q1_q17_dr25_tce,5780,4.438,0,1,1,287.13596,37.838306,18.55,DEEP_V_SHAPED
5422,12301181,K02059.02,,CANDIDATE,CANDIDATE,0.691,0,0,0,0,2.18565886,132.45418,0.394,1.966,3.56E+01,0.44,0.0307,1087,329.49,11.1,2,q1_q17_dr25_tce,4997,4.598,0,0.746,0.806,287.59009,51.06057,12.906,PLANET_IN_STAR
5423,5397166,K03856.01,,FALSE POSITIVE,FALSE POSITIVE,0.998,0,1,1,0,1.811966339,132.27828,1.24,3.792,4.08E+02,95.19,0.0343,2573,10360.38,36.3,1,q1_q17_dr25_tce,5904,3.602,0.2,3.348,1.635,299.85965,40.56395,13.493,CENT_RESOLVED_OFFSET
5424,7024530,K03922.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,66.1539783,156.97153,0.873,5.896,6.95E+03,9.69,0.3283,468,11.3,57.7,1,q1_q17_dr25_tce,6077,4.471,-0.04,0.999,1.077,288.92923,42.529202,15.52,MOD_SEC_DV
5425,5015459,K03923.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,158.3226379,251.75032,1.323,2.1881,4.86E+03,25.41,0.4719,211,0.47,34.5,1,q1_q17_dr25_tce,4340,4.67,-0.58,0.572,0.557,293.07538,40.122139,15.557,MOD_SEC_DV
5426,11709124,K00435.04,Kepler-154 e,CONFIRMED,CANDIDATE,1,0,0,0,0,3.93276627,134.64964,0.37,2.9403,2.35E+02,1.5,0.047,1140,399.84,30.7,4,q1_q17_dr25_tce,5688,4.415,-0.12,0.971,0.895,289.78052,49.89653,14.534,MOD_SEC_DV
5427,8505920,K02094.02,Kepler-1090 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,198.680859,270.66535,0.746,8.282,6.45E+02,2.79,0.6364,297,1.83,16.6,2,q1_q17_dr25_tce,5330,4.366,0.18,1.013,0.869,295.66287,44.525841,15.001,CENT_UNRESOLVED_OFFSET
5428,1433980,K03924.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.592634161,132.328769,0.877,8.9488,1.55E+05,100.2,0.0292,2255,6128.09,1207.6,1,q1_q17_dr25_tce,6574,4.061,-0.22,1.768,1.317,291.76633,37.097191,14.915,HALO_GHOST
5429,2438490,K03699.01,,FALSE POSITIVE,FALSE POSITIVE,0.009,0,1,0,0,3.31577795,131.53883,0.633,4.2349,9.46E+04,27.77,0.0415,1104,349.78,124.6,1,q1_q17_dr25_tce,5528,4.516,-0.14,0.849,0.864,290.32596,37.76152,17.772,MOD_SEC_ALT
5430,3838496,K03700.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,2.990252395,133.110629,1.117,7.8462,2.16E+05,89.85,0.0407,1264,603.02,541.7,1,q1_q17_dr25_tce,5780,4.438,0,1,1,287.75238,38.929794,17.9,MOD_SEC_DV
5431,6470521,K03701.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,2.08043378,131.827041,5.106,7.708,6.86E+03,510.48,0.0334,1629,1661.27,289.1,1,q1_q17_dr25_tce,6377,4.399,-0.1,1.119,1.147,299.02432,41.823719,13.858,CENT_UNRESOLVED_OFFSET
5432,2449090,K03702.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,4.944046127,134.192012,0.964,4.50334,1.13E+05,54.29,0.0569,1069,308.53,537.2,1,q1_q17_dr25_tce,5780,4.438,0,1,1,292.69629,37.707237,16.237,MOD_SEC_ALT
5433,5652260,K03703.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,4.464565251,132.311502,1.046,4.0221,7.41E+04,43.21,0.0522,1024,259.97,286.4,1,q1_q17_dr25_tce,5743,4.553,-0.14,0.853,0.949,299.54694,40.861271,17.296,CENT_RESOLVED_OFFSET
5434,2569494,K03704.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.523298835,132.32762,0.41,5.9083,1.95E+05,38.95,0.0241,1404,919.42,174.4,1,q1_q17_dr25_tce,5311,4.469,-0.08,0.866,0.804,290.17883,37.848949,17.38,DEEP_V_SHAPED
5435,12405950,K03778.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,3.539631353,132.774997,1.091,1.5372,1.23E+03,39.34,0.0514,2214,5689.3,163.5,1,q1_q17_dr25_tce,7021,3.759,-0.46,2.629,1.447,290.43008,51.271549,12.305,CENT_KIC_POS
5436,5206233,K03779.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,6.195861785,134.23422,3.38,2.6078,3.51E+03,215.89,0.0638,883,143.74,83.5,1,q1_q17_dr25_tce,5608,4.573,-0.18,0.813,0.909,296.63696,40.366982,15.431,CENT_SATURATED
5437,7031066,K07803.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,0.566805514,131.8162,0.027,4.367,8.53E+01,0.82,0.0127,1920,3193.9,25.1,1,q1_q17_dr25_tce,5115,4.439,0.28,0.917,0.842,290.96289,42.570709,14.943,MOD_SEC_DV
5438,6775985,K03780.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,27.961084,133.1759,1.02,3.8741,6.27E+03,21.5,0.1916,796,94.86,106,1,q1_q17_dr25_tce,6770,4.249,-0.36,1.361,1.204,291.38675,42.260509,14.069,CENT_RESOLVED_OFFSET
5439,11357192,K03782.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,186.5168116,169.64687,0.972,3.1968,5.75E+03,37.5,0.7185,452,9.83,126.9,1,q1_q17_dr25_tce,5018,3.639,0.28,2.99,1.421,295.08725,49.169899,13.529,SWEET_EB
5440,9533489,K03783.01,,FALSE POSITIVE,FALSE POSITIVE,0.521,0,1,0,0,197.1455327,300.176978,1.251,2.1145,5.66E+03,72.16,0.7904,498,14.53,56.8,1,q1_q17_dr25_tce,7214,4.093,0.24,1.935,1.69,294.67377,46.122673,12.962,NO_COMMENT
5441,11825057,K03857.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,0.532087933,131.972409,0.279,3.45028,5.10E+05,74.83,0.0129,2247,6002.61,1069.5,1,q1_q17_dr25_tce,5780,4.438,0,1,1,296.96957,50.067093,18.852,SWEET_NTL
5442,12306699,K03858.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,3.204222652,133.82223,1.258,2.7952,8.98E+02,23.55,0.0397,979,217.46,45.5,1,q1_q17_dr25_tce,5139,4.609,-0.14,0.741,0.825,291.04214,51.026321,15.341,MOD_SEC_DV
5443,9692336,K03859.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,0.687898282,131.595979,0.337,3.96401,2.94E+05,55.58,0.0153,2062,4267.13,1571.6,1,q1_q17_dr25_tce,5780,4.438,0,1,1,282.1741,46.45676,17.49,NO_COMMENT
5444,9641008,K03860.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,2.178154774,132.02433,1.223,3.5302,6.63E+02,19.46,0.0303,1180,457.16,89.2,1,q1_q17_dr25_tce,5515,4.624,-0.54,0.712,0.785,288.00998,46.306061,14.489,MOD_SEC_DV
5445,8588377,K03861.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,0.99466172,131.63284,1.244,1.576,1.37E+03,31.84,0.0182,1898,3078.85,21.5,1,q1_q17_dr25_tce,5750,4.332,-0.38,1.021,0.816,300.439,44.663319,14.997,MOD_SEC_DV
5446,3644601,K03862.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,359.00688,295.8649,1.263,32.16,2.02E+03,28.57,0.9456,237,0.74,35.3,1,q1_q17_dr25_tce,5715,4.537,-0.3,0.834,0.873,291.18866,38.751259,15.164,MOD_SEC_ALT
5447,4242692,K03928.01,Kepler-1531 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,1.138548215,132.46205,0.545,2.1482,6.62E+01,1.45,0.022,2537,9805.45,31.5,1,q1_q17_dr25_tce,6520,4.01,-0.5,1.713,1.094,285.14658,39.370789,13.194,MOD_ODDEVEN_DV
5448,8781480,K03929.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,121.0598037,159.3454,1.2,3.112,1.56E+03,1680.99,0.5714,1792,2437.81,16.6,1,q1_q17_dr25_tce,3942,1.101,-0.18,60.688,1.696,300.4682,44.981426,13.353,CENT_RESOLVED_OFFSET
5449,6783732,K07790.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,0.721335207,131.57505,0.103,1.509,3.18E+01,0.54,0.0158,2162,5166.26,12,1,q1_q17_dr25_tce,6328,4.489,-0.44,0.948,1.012,293.66803,42.223511,13.982,LPP_DV
5450,11607176,K03930.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,3.28274272,132.64464,0.967,8.9,2.93E+02,1.85,0.0408,1136,392.7,68.2,1,q1_q17_dr25_tce,5741,4.533,-0.42,0.82,0.837,289.86264,49.637299,14.518,HAS_SEC_TCE
5451,10661718,K03931.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,1.231361934,131.80783,0.972,5.433,4.71E+02,2.93,0.0217,1839,2707.51,94.7,1,q1_q17_dr25_tce,6095,4.378,-0.48,1.016,0.9,290.27328,47.986469,15.277,CENT_RESOLVED_OFFSET
5452,6105462,K02098.02,Kepler-1093 c,CONFIRMED,CANDIDATE,0.977,0,0,0,0,89.7224125,163.15815,0.742,10.963,2.64E+02,2.21,0.394,508,15.69,25.6,2,q1_q17_dr25_tce,6429,4.241,-0.46,1.262,1.011,284.978,41.420158,13.838,CENT_RESOLVED_OFFSET
5453,8257205,K01986.02,Kepler-1038 c,CONFIRMED,CANDIDATE,0.989,0,0,0,0,7.12766417,136.00586,0.125,2.491,2.29E+02,1.21,0.0692,784,89.24,16,2,q1_q17_dr25_tce,5159,4.548,0.16,0.821,0.868,298.97217,44.132381,14.839,MOD_SEC_DV
5454,6470516,K03705.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,2.080431782,131.827995,0.771,7.4997,8.94E+05,345.7,0.0387,2719,12956.98,1585.2,1,q1_q17_dr25_tce,8344,4.04,-0.26,2.115,1.79,299.02353,41.82198,16.448,CENT_RESOLVED_OFFSET
5455,6891124,K07796.01,,CANDIDATE,CANDIDATE,0.974,0,0,0,0,3.52364689,134.1864,0.004,3.439,7.42E+01,0.94,0.0469,1330,739.8,8.5,1,q1_q17_dr25_tce,6269,4.412,-0.08,1.085,1.106,298.72821,42.372631,14.46,LPP_DV
5456,7770471,K03706.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,1.157804607,132.448327,0.26,4.66082,6.06E+05,118.11,0.0231,2255,6116.99,1837.9,1,q1_q17_dr25_tce,6510,4.219,-0.12,1.425,1.228,297.18048,43.477112,14.62,CENT_RESOLVED_OFFSET
5457,5130380,K03707.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.979098,137.14659,0.576,10.5638,3.84E+04,22.98,0.1399,739,70.59,449.1,1,q1_q17_dr25_tce,5907,4.296,-0.26,1.126,0.915,299.15503,40.288132,16.299,MOD_SEC_DV
5458,6314173,K03708.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.433262401,132.822635,0.382,6.2205,4.29E+05,136.47,0.0281,2691,12427.14,599.8,1,q1_q17_dr25_tce,7311,4.013,-0.4,1.959,1.442,299.24063,41.621681,17.719,NO_COMMENT
5459,5688997,K03784.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,23.8706941,136.9568,1.293,3.4812,6.39E+03,49.6,0.1628,711,60.38,114.8,1,q1_q17_dr25_tce,6022,4.308,-0.1,1.166,1.007,285.8418,40.925449,14.219,MOD_SEC_DV
5460,9489524,K02029.04,,CANDIDATE,CANDIDATE,0.863,0,0,0,0,4.78850084,135.4574,0.343,2.099,6.65E+01,0.63,0.0515,889,147.95,7.2,4,q1_q17_dr25_tce,5208,4.563,-0.14,0.772,0.796,299.89651,46.051971,12.957,MOD_SEC_DV
5461,7031340,K07804.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,0.566769068,131.8681,0.773,3.011,4.00E+01,1.06,0.0127,2661,11897.94,14.9,1,q1_q17_dr25_tce,5496,3.998,-0.32,1.533,0.853,291.0571,42.583359,14.447,MOD_SEC_DV
5462,4073730,K03785.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,6.2820426,131.58905,0.989,7.941,1.41E+03,23.76,0.0797,2021,3938.81,103.3,1,q1_q17_dr25_tce,6635,3.511,-0.32,3.798,1.705,295.61594,39.196709,11.059,HALO_GHOST
5463,2854948,K03786.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,0.97430309,132.390205,1.169,2.1088,3.50E+04,37.62,0.0183,1643,1728.18,224,2,q1_q17_dr25_tce,5688,4.583,-0.36,0.786,0.87,291.98416,38.088371,15.783,MOD_SEC_DV
5464,7813039,K03787.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,141.7340306,167.345982,0.912,1.5851,7.74E+03,10.3,0.5185,329,2.77,157.4,1,q1_q17_dr25_tce,5606,4.478,0,0.918,0.924,288.43912,43.505249,13.891,NO_COMMENT
5465,3644601,K03862.02,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,119.686505,176.0608,1.221,29.33,8.43E+02,23,0.4546,341,3.21,27.1,3,q1_q17_dr25_tce,5715,4.537,-0.3,0.834,0.873,291.18866,38.751259,15.164,CENT_CROWDED
5466,8459354,K03863.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,53.556625,184.4892,0.879,16.18,3.96E+03,26.31,0.3551,1076,317.03,22.1,1,q1_q17_dr25_tce,7643,3.639,0,3.618,2.082,300.40677,44.414188,11.142,NO_COMMENT
5467,6531617,K07785.01,,CANDIDATE,CANDIDATE,0.323,0,0,0,0,433.220461,271.04277,0.178,2.725,7.25E+02,2.07,1.0084,203,0.4,9.5,1,q1_q17_dr25_tce,5232,4.519,-0.32,0.777,0.727,294.62714,41.933182,14.546,NO_COMMENT
5468,4164922,K03864.01,Kepler-1698 b,CONFIRMED,CANDIDATE,1,0,0,0,0,1.210693626,132.39306,0.597,1.434,1.59E+02,0.99,0.0203,1351,784.51,41.6,1,q1_q17_dr25_tce,5014,4.559,-0.1,0.756,0.756,293.34497,39.257809,12.914,CENT_FEW_DIFFS
5469,12061969,K02061.02,Kepler-2001 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,1.090011003,131.58066,0.531,1.5,1.75E+02,1.04,0.0197,1402,911.28,12.6,2,q1_q17_dr25_tce,5081,4.596,0.12,0.77,0.864,291.65952,50.583881,15.753,DEEP_V_SHAPED
5470,4164922,K03864.02,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,18.2572722,134.44527,0.412,3.434,1.58E+02,0.94,0.1236,547,21.16,17.3,2,q1_q17_dr25_tce,5014,4.559,-0.1,0.756,0.756,293.34497,39.257809,12.914,DEPTH_ODDEVEN_DV
5471,10328393,K01905.03,Kepler-332 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,34.2115022,154.57508,0.034,4.947,2.74E+02,1.15,0.1894,427,7.82,20.7,3,q1_q17_dr25_tce,4955,4.61,-0.1,0.721,0.774,286.66296,47.4137,14.017,MOD_SEC_DV
5472,10259029,K03630.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,7.061149921,134.558528,0.912,3.33515,1.31E+05,43.71,0.0683,842,118.87,631.5,1,q1_q17_dr25_tce,5585,4.564,-0.28,0.798,0.852,284.67484,47.340809,17.115,CENT_RESOLVED_OFFSET
5473,8299947,K03631.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,2.682767439,131.570648,0.509,4.58143,3.94E+05,70.67,0.0379,1310,695.41,508.4,1,q1_q17_dr25_tce,5780,4.438,0,1,1,291.88657,44.224564,17.743,MOD_SEC_DV
5474,3335813,K03632.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,3.711012492,132.488455,1.272,3.3394,7.56E+03,46.24,0.0478,1310,695.05,257.4,1,q1_q17_dr25_tce,6141,4.365,-0.06,1.117,1.051,289.69757,38.408852,13.789,DEEP_V_SHAPED
5475,11858741,K03633.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,1.780982447,131.520134,0.002,3.4297,3.58E+05,60.45,0.0288,1502,1204.3,324,1,q1_q17_dr25_tce,5780,4.438,0,1,1,288.76028,50.176834,16.485,CENT_RESOLVED_OFFSET
5476,6363494,K03634.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.815632406,131.9113803,1.04,3.35773,6.16E+04,108.78,0.0395,3429,32652.55,1413.9,1,q1_q17_dr25_tce,9954,4.07,0.07,2.408,2.485,291.63495,41.76569,14.42,MOD_SEC_DV
